Time,vel,cur,tar_vel,identification_angle
1745830144.615877291,0.0259207,4185,0.02,1.5708
1745830144.618378868,0.0248839,4133,0.02,1.5708
1745830144.620896483,0.0248839,4133,0.02,1.5708
1745830144.623401623,0.0238471,4100,0.02,1.5708
1745830144.625879750,0.0238471,4100,0.02,1.5708
1745830144.628383434,0.0196998,4155,0.02,1.5708
1745830144.630899569,0.0196998,4155,0.02,1.5708
1745830144.633390200,0.0165893,4226,0.02,1.5708
1745830144.635893267,0.0155524,4173,0.02,1.5708
1745830144.638383366,0.0155524,4173,0.02,1.5708
1745830144.640888086,0.0165893,4252,0.02,1.5708
1745830144.643380041,0.0165893,4246,0.02,1.5708
1745830144.645898007,0.0155524,4284,0.02,1.5708
1745830144.648362039,0.0145156,4280,0.02,1.5708
1745830144.650893820,0.0103683,4356,0.02,1.5708
1745830144.653403014,0.0103683,4341,0.02,1.5708
1745830144.655895848,0.012442,4407,0.02,1.5708
1745830144.658379964,0.012442,4407,0.02,1.5708
1745830144.660887296,0.0145156,4365,0.02,1.5708
1745830144.663419549,0.0155524,4394,0.02,1.5708
1745830144.665884359,0.0155524,4398,0.02,1.5708
1745830144.668387244,0.0165893,4352,0.02,1.5708
1745830144.670880918,0.0176261,4405,0.02,1.5708
1745830144.673382864,0.0176261,4405,0.02,1.5708
1745830144.675895805,0.0176261,4386,0.02,1.5708
1745830144.678386207,0.0176261,4436,0.02,1.5708
1745830144.680897418,0.0165893,4429,0.02,1.5708
1745830144.683417019,0.0186629,4380,0.02,1.5708
1745830144.685892956,0.0186629,4380,0.02,1.5708
1745830144.688390609,0.0186629,4451,0.02,1.5708
1745830144.690884240,0.0196998,4416,0.02,1.5708
1745830144.693399525,0.0207366,4415,0.02,1.5708
1745830144.695866770,0.0217734,4363,0.02,1.5708
1745830144.698383626,0.0217734,4363,0.02,1.5708
1745830144.700882377,0.0176261,4390,0.02,1.5708
1745830144.703404118,0.0165893,4394,0.02,1.5708
1745830144.705884732,0.0165893,4383,0.02,1.5708
1745830144.708395455,0.0165893,4408,0.02,1.5708
1745830144.710897037,0.0155524,4405,0.02,1.5708
1745830144.713396644,0.0155524,4405,0.02,1.5708
1745830144.715888047,0.0134788,4469,0.02,1.5708
1745830144.718380051,0.012442,4496,0.02,1.5708
1745830144.720899239,0.012442,4496,0.02,1.5708
1745830144.723407135,0.0114051,4479,0.02,1.5708
1745830144.725882144,0.012442,4499,0.02,1.5708
1745830144.728394592,0.012442,4531,0.02,1.5708
1745830144.730885192,0.012442,4531,0.02,1.5708
1745830144.733386931,0.012442,4604,0.02,1.5708
1745830144.735884502,0.012442,4604,0.02,1.5708
1745830144.738381585,0.0114051,4605,0.02,1.5708
1745830144.740897355,0.012442,4594,0.02,1.5708
1745830144.743421660,0.0155524,4560,0.02,1.5708
1745830144.745879490,0.0155524,4560,0.02,1.5708
1745830144.748386359,0.0155524,4618,0.02,1.5708
1745830144.750898831,0.0165893,4585,0.02,1.5708
1745830144.753383757,0.0165893,4580,0.02,1.5708
1745830144.755887411,0.0186629,4555,0.02,1.5708
1745830144.758383577,0.0186629,4555,0.02,1.5708
1745830144.760902324,0.0217734,4511,0.02,1.5708
1745830144.763421023,0.0217734,4511,0.02,1.5708
1745830144.765889395,0.0217734,4539,0.02,1.5708
1745830144.768388046,0.0217734,4537,0.02,1.5708
1745830144.770897211,0.0217734,4512,0.02,1.5708
1745830144.773383124,0.0217734,4524,0.02,1.5708
1745830144.775878909,0.0217734,4494,0.02,1.5708
1745830144.778378407,0.0248839,4466,0.02,1.5708
1745830144.780895085,0.0248839,4415,0.02,1.5708
1745830144.783401331,0.0259207,4365,0.02,1.5708
1745830144.785885195,0.0259207,4342,0.02,1.5708
1745830144.788385293,0.0196998,4365,0.02,1.5708
1745830144.790898608,0.0165893,4433,0.02,1.5708
1745830144.793383957,0.0165893,4433,0.02,1.5708
1745830144.795885707,0.0155524,4424,0.02,1.5708
1745830144.798398244,0.0155524,4449,0.02,1.5708
1745830144.800883794,0.0145156,4443,0.02,1.5708
1745830144.803416648,0.0145156,4443,0.02,1.5708
1745830144.805902962,0.0134788,4521,0.02,1.5708
1745830144.808398848,0.0134788,4511,0.02,1.5708
1745830144.810898893,0.0134788,4511,0.02,1.5708
1745830144.813382798,0.0145156,4538,0.02,1.5708
1745830144.815891355,0.0145156,4568,0.02,1.5708
1745830144.818394726,0.0134788,4595,0.02,1.5708
1745830144.820897998,0.0134788,4595,0.02,1.5708
1745830144.823418617,0.012442,4633,0.02,1.5708
1745830144.825905968,0.0134788,4659,0.02,1.5708
1745830144.828382751,0.0145156,4657,0.02,1.5708
1745830144.830898632,0.0155524,4660,0.02,1.5708
1745830144.833405686,0.0145156,4633,0.02,1.5708
1745830144.835862582,0.0155524,4700,0.02,1.5708
1745830144.838397084,0.0165893,4679,0.02,1.5708
1745830144.840880163,0.0165893,4679,0.02,1.5708
1745830144.843413761,0.0176261,4637,0.02,1.5708
1745830144.845880724,0.0165893,4693,0.02,1.5708
1745830144.848376063,0.0155524,4676,0.02,1.5708
1745830144.850879767,0.0155524,4676,0.02,1.5708
1745830144.853395601,0.0207366,4630,0.02,1.5708
1745830144.855871241,0.0207366,4630,0.02,1.5708
1745830144.858395104,0.0176261,4662,0.02,1.5708
1745830144.860885050,0.0217734,4624,0.02,1.5708
1745830144.863402855,0.0217734,4649,0.02,1.5708
1745830144.865897875,0.0217734,4649,0.02,1.5708
1745830144.868394398,0.0228102,4527,0.02,1.5708
1745830144.870899008,0.0228102,4527,0.02,1.5708
1745830144.873384797,0.0134788,4666,0.02,1.5708
1745830144.875836769,0.012442,4703,0.02,1.5708
1745830144.878385213,0.0134788,4674,0.02,1.5708
1745830144.880898250,0.0145156,4694,0.02,1.5708
1745830144.883400220,0.0145156,4694,0.02,1.5708
1745830144.885890670,0.0145156,4641,0.02,1.5708
1745830144.888379762,0.0145156,4687,0.02,1.5708
1745830144.890903676,0.012442,4771,0.02,1.5708
1745830144.893373996,0.012442,4771,0.02,1.5708
1745830144.895878475,0.0114051,4777,0.02,1.5708
1745830144.898401750,0.0114051,4811,0.02,1.5708
1745830144.900894092,0.0114051,4811,0.02,1.5708
1745830144.903404132,0.0114051,4853,0.02,1.5708
1745830144.905874042,0.0114051,4846,0.02,1.5708
1745830144.908401916,0.0134788,4854,0.02,1.5708
1745830144.910881484,0.0134788,4854,0.02,1.5708
1745830144.913382455,0.0114051,4946,0.02,1.5708
1745830144.915884725,0.0103683,4910,0.02,1.5708
1745830144.918385336,0.0103683,4989,0.02,1.5708
1745830144.920905143,0.0103683,4971,0.02,1.5708
1745830144.923400328,0.0103683,4971,0.02,1.5708
1745830144.925887103,0.0134788,4962,0.02,1.5708
1745830144.928404348,0.0165893,4928,0.02,1.5708
1745830144.930897283,0.0165893,4928,0.02,1.5708
1745830144.933381112,0.0165893,4922,0.02,1.5708
1745830144.935891752,0.0165893,4967,0.02,1.5708
1745830144.938389902,0.0165893,4967,0.02,1.5708
1745830144.940884377,0.0186629,4924,0.02,1.5708
1745830144.943402347,0.0196998,4947,0.02,1.5708
1745830144.945885435,0.0196998,4947,0.02,1.5708
1745830144.948387234,0.0196998,4947,0.02,1.5708
1745830144.950873419,0.0165893,4995,0.02,1.5708
1745830144.953384001,0.0176261,4983,0.02,1.5708
1745830144.955889012,0.0176261,4946,0.02,1.5708
1745830144.958384037,0.0165893,4910,0.02,1.5708
1745830144.960904006,0.0155524,4927,0.02,1.5708
1745830144.963419219,0.0176261,4960,0.02,1.5708
1745830144.965885667,0.0196998,4904,0.02,1.5708
1745830144.968379349,0.0196998,4904,0.02,1.5708
1745830144.970909043,0.0176261,4879,0.02,1.5708
1745830144.973385980,0.0155524,4888,0.02,1.5708
1745830144.975885973,0.0114051,4944,0.02,1.5708
1745830144.978378705,0.0114051,4944,0.02,1.5708
1745830144.980886686,0.0072578,5016,0.02,1.5708
1745830144.983418150,0.00829463,5047,0.02,1.5708
1745830144.985880717,0.00829463,5051,0.02,1.5708
1745830144.988388350,0.00829463,5051,0.02,1.5708
1745830144.990883333,0.0145156,5024,0.02,1.5708
1745830144.993377257,0.0145156,5024,0.02,1.5708
1745830144.995867360,0.012442,5068,0.02,1.5708
1745830144.998390241,0.00829463,5147,0.02,1.5708
1745830145.000881176,0.0072578,5162,0.02,1.5708
1745830145.003415197,0.00829463,5200,0.02,1.5708
1745830145.005885955,0.00933146,5206,0.02,1.5708
1745830145.008383026,0.0114051,5226,0.02,1.5708
1745830145.010880931,0.0114051,5175,0.02,1.5708
1745830145.013396768,0.012442,5190,0.02,1.5708
1745830145.015875412,0.0134788,5216,0.02,1.5708
1745830145.018391406,0.0165893,5144,0.02,1.5708
1745830145.020881977,0.0165893,5144,0.02,1.5708
1745830145.023379945,0.0196998,5150,0.02,1.5708
1745830145.025902522,0.0186629,5150,0.02,1.5708
1745830145.028382382,0.0176261,5124,0.02,1.5708
1745830145.030895038,0.0176261,5160,0.02,1.5708
1745830145.033390289,0.0176261,5160,0.02,1.5708
1745830145.035890874,0.0165893,5129,0.02,1.5708
1745830145.038384811,0.0165893,5129,0.02,1.5708
1745830145.040904381,0.0228102,5056,0.02,1.5708
1745830145.043425554,0.0228102,5056,0.02,1.5708
1745830145.045889797,0.0238471,5048,0.02,1.5708
1745830145.048387176,0.0196998,5093,0.02,1.5708
1745830145.050880077,0.0196998,5093,0.02,1.5708
1745830145.053400633,0.0176261,5083,0.02,1.5708
1745830145.055877256,0.0186629,5049,0.02,1.5708
1745830145.058393314,0.0186629,5071,0.02,1.5708
1745830145.060880298,0.0196998,5060,0.02,1.5708
1745830145.063399773,0.0196998,4990,0.02,1.5708
1745830145.065904147,0.0176261,4995,0.02,1.5708
1745830145.068381465,0.0186629,5034,0.02,1.5708
1745830145.070883161,0.0165893,5035,0.02,1.5708
1745830145.073381378,0.0165893,5031,0.02,1.5708
1745830145.075897905,0.0165893,5067,0.02,1.5708
1745830145.078393871,0.0165893,5067,0.02,1.5708
1745830145.080901235,0.012442,5095,0.02,1.5708
1745830145.083413811,0.012442,5088,0.02,1.5708
1745830145.085882129,0.0155524,5119,0.02,1.5708
1745830145.088386887,0.0145156,5155,0.02,1.5708
1745830145.090885797,0.012442,5181,0.02,1.5708
1745830145.093381667,0.012442,5200,0.02,1.5708
1745830145.095896804,0.0134788,5160,0.02,1.5708
1745830145.098384566,0.0165893,5138,0.02,1.5708
1745830145.100879978,0.0165893,5138,0.02,1.5708
1745830145.103406689,0.0186629,5151,0.02,1.5708
1745830145.105902011,0.0186629,5140,0.02,1.5708
1745830145.108384171,0.0186629,5140,0.02,1.5708
1745830145.110880305,0.0196998,5110,0.02,1.5708
1745830145.113387153,0.0207366,5152,0.02,1.5708
1745830145.115889244,0.0196998,5153,0.02,1.5708
1745830145.118382328,0.0228102,5128,0.02,1.5708
1745830145.120877141,0.0228102,5106,0.02,1.5708
1745830145.123417460,0.0238471,5134,0.02,1.5708
1745830145.125886577,0.0228102,5110,0.02,1.5708
1745830145.128384877,0.0217734,5092,0.02,1.5708
1745830145.130887519,0.0196998,5109,0.02,1.5708
1745830145.133399027,0.0196998,5073,0.02,1.5708
1745830145.135894476,0.0217734,5022,0.02,1.5708
1745830145.138400208,0.0259207,4968,0.02,1.5708
1745830145.140879966,0.0217734,5016,0.02,1.5708
1745830145.143401232,0.0217734,5016,0.02,1.5708
1745830145.145883792,0.0196998,5006,0.02,1.5708
1745830145.148403138,0.0145156,5022,0.02,1.5708
1745830145.150879543,0.0145156,5022,0.02,1.5708
1745830145.153402847,0.0165893,5052,0.02,1.5708
1745830145.155891371,0.0176261,5030,0.02,1.5708
1745830145.158386521,0.0165893,5100,0.02,1.5708
1745830145.160888587,0.0165893,5100,0.02,1.5708
1745830145.163414887,0.0155524,5128,0.02,1.5708
1745830145.165897052,0.0134788,5098,0.02,1.5708
1745830145.168383234,0.0114051,5185,0.02,1.5708
1745830145.170829628,0.0114051,5185,0.02,1.5708
1745830145.173386579,0.0114051,5220,0.02,1.5708
1745830145.175891950,0.0134788,5196,0.02,1.5708
1745830145.178397607,0.0155524,5184,0.02,1.5708
1745830145.180904635,0.0186629,5190,0.02,1.5708
1745830145.183373711,0.0186629,5211,0.02,1.5708
1745830145.185879065,0.0176261,5178,0.02,1.5708
1745830145.188405927,0.0186629,5209,0.02,1.5708
1745830145.190893383,0.0186629,5213,0.02,1.5708
1745830145.193382030,0.0165893,5229,0.02,1.5708
1745830145.195892173,0.0165893,5217,0.02,1.5708
1745830145.198385471,0.0228102,5146,0.02,1.5708
1745830145.200891045,0.0217734,5215,0.02,1.5708
1745830145.203415663,0.0176261,5213,0.02,1.5708
1745830145.205881098,0.0165893,5248,0.02,1.5708
1745830145.208395384,0.0217734,5153,0.02,1.5708
1745830145.210881433,0.0248839,5083,0.02,1.5708
1745830145.213381759,0.0279944,5054,0.02,1.5708
1745830145.215893196,0.0321417,5004,0.02,1.5708
1745830145.218384262,0.0207366,5101,0.02,1.5708
1745830145.220880146,0.0145156,5121,0.02,1.5708
1745830145.223375564,0.012442,5125,0.02,1.5708
1745830145.225891774,0.0134788,5104,0.02,1.5708
1745830145.228385450,0.0186629,5055,0.02,1.5708
1745830145.230878984,0.0207366,5092,0.02,1.5708
1745830145.233381466,0.0207366,5092,0.02,1.5708
1745830145.235892063,0.0217734,5002,0.02,1.5708
1745830145.238378107,0.0196998,5043,0.02,1.5708
1745830145.240879634,0.0186629,5048,0.02,1.5708
1745830145.243419090,0.0186629,5048,0.02,1.5708
1745830145.245883116,0.0196998,5044,0.02,1.5708
1745830145.248376915,0.0155524,5124,0.02,1.5708
1745830145.250890133,0.0145156,5112,0.02,1.5708
1745830145.253399125,0.0145156,5112,0.02,1.5708
1745830145.255893433,0.0165893,5106,0.02,1.5708
1745830145.258382773,0.0186629,5064,0.02,1.5708
1745830145.260884975,0.0207366,5063,0.02,1.5708
