Time,vel,cur,tar_vel
1740043084.881170551,0.00829463,189,0.0145156
1740043084.884788511,0.00829463,200,0.0145156
1740043084.888363672,0.00829463,219,0.0145156
1740043084.891974989,0.0103683,234,0.0145156
1740043084.895560614,0.0114051,233,0.0145156
1740043084.899166462,0.012442,207,0.0145156
1740043084.902768315,0.0134788,225,0.0145156
1740043084.906359577,0.0134788,210,0.0145156
1740043084.909956743,0.0145156,194,0.0145156
1740043084.913562035,0.0145156,194,0.0145156
1740043084.917161633,0.0134788,193,0.0145156
1740043084.920769199,0.0134788,201,0.0145156
1740043084.924368575,0.0134788,210,0.0145156
1740043084.927971724,0.012442,196,0.0145156
1740043084.931561658,0.012442,196,0.0145156
1740043084.935171200,0.0114051,213,0.0145156
1740043084.938763330,0.0103683,224,0.0145156
1740043084.942370838,0.0103683,218,0.0145156
1740043084.945974603,0.012442,224,0.0145156
1740043084.949555887,0.012442,205,0.0145156
1740043084.953167600,0.0134788,205,0.0145156
1740043084.956771676,0.0145156,181,0.0145156
1740043084.960367704,0.0155524,172,0.0145156
1740043084.963962794,0.0165893,183,0.0145156
1740043084.967567608,0.0155524,157,0.0145156
1740043084.971159566,0.0155524,154,0.0145156
1740043084.974759195,0.0145156,162,0.0145156
1740043084.978356154,0.0134788,178,0.0145156
1740043084.981957333,0.0114051,182,0.0145156
1740043084.985555631,0.0103683,206,0.0145156
1740043084.989162923,0.0103683,205,0.0145156
1740043084.992777901,0.0103683,224,0.0145156
1740043084.996361387,0.0103683,169,0.0145156
1740043084.999960170,0.0103683,219,0.0145156
1740043085.003553816,0.0103683,242,0.0145156
1740043085.007153367,0.0114051,225,0.0145156
1740043085.010777581,0.0134788,173,0.0145156
1740043085.014374131,0.0145156,217,0.0145156
1740043085.017968252,0.0176261,184,0.0145156
1740043085.021573980,0.0176261,176,0.0145156
1740043085.025159118,0.0176261,185,0.0145156
1740043085.028773583,0.0176261,142,0.0145156
1740043085.032378142,0.0176261,139,0.0145156
1740043085.035971032,0.0155524,118,0.0145156
1740043085.039567916,0.0134788,150,0.0145156
1740043085.043164546,0.012442,159,0.0145156
1740043085.046776652,0.0114051,185,0.0145156
1740043085.050364268,0.012442,125,0.0145156
1740043085.053953208,0.012442,135,0.0145156
1740043085.057553574,0.012442,150,0.0145156
1740043085.061162526,0.0134788,130,0.0145156
1740043085.064777869,0.0165893,119,0.0145156
1740043085.068366557,0.0176261,119,0.0145156
1740043085.071970231,0.0176261,108,0.0145156
1740043085.075555885,0.0176261,108,0.0145156
1740043085.079177763,0.0165893,57,0.0145156
1740043085.082754365,0.0165893,57,0.0145156
1740043085.086374957,0.0134788,109,0.0145156
1740043085.089956742,0.0114051,122,0.0145156
1740043085.093574660,0.0103683,106,0.0145156
1740043085.097165546,0.0103683,156,0.0145156
1740043085.100795311,0.0103683,121,0.0145156
1740043085.104369701,0.0114051,137,0.0145156
1740043085.107977609,0.0134788,112,0.0145156
1740043085.111565294,0.0134788,121,0.0145156
1740043085.115155853,0.0155524,112,0.0145156
1740043085.118752641,0.0155524,121,0.0145156
1740043085.122379646,0.0165893,87,0.0145156
1740043085.125974566,0.0165893,103,0.0145156
1740043085.129570544,0.0155524,69,0.0145156
1740043085.133147698,0.0155524,69,0.0145156
1740043085.136785350,0.0145156,56,0.0145156
1740043085.140352644,0.0145156,94,0.0145156
1740043085.143967439,0.0103683,53,0.0145156
1740043085.147582845,0.00933146,127,0.0145156
1740043085.151164608,0.00829463,146,0.0145156
1740043085.154758143,0.00829463,134,0.0145156
1740043085.158372594,0.00933146,114,0.0145156
1740043085.161912659,0.0103683,164,0.0145156
1740043085.165551691,0.0114051,174,0.0145156
1740043085.169159363,0.0114051,174,0.0145156
1740043085.172650259,0.0114051,116,0.0145156
1740043085.176384877,0.012442,116,0.0145156
1740043085.179973131,0.0134788,150,0.0145156
1740043085.183557404,0.0134788,163,0.0145156
1740043085.187159087,0.0134788,146,0.0145156
1740043085.190747844,0.0114051,152,0.0145156
1740043085.194372648,0.0114051,117,0.0145156
1740043085.197960301,0.00933146,164,0.0145156
1740043085.201570020,0.00829463,192,0.0145156
1740043085.205178401,0.00829463,223,0.0145156
1740043085.208777952,0.00829463,205,0.0145156
1740043085.212352296,0.00829463,204,0.0145156
1740043085.215974597,0.00933146,226,0.0145156
1740043085.219569951,0.00933146,222,0.0145156
1740043085.223174327,0.0103683,243,0.0145156
1740043085.226753749,0.0114051,250,0.0145156
1740043085.230349748,0.0114051,233,0.0145156
1740043085.233972286,0.0134788,249,0.0145156
1740043085.237570868,0.0145156,216,0.0145156
1740043085.241173599,0.0145156,189,0.0145156
1740043085.244789235,0.0145156,223,0.0145156
1740043085.248351911,0.0134788,215,0.0145156
1740043085.251951550,0.012442,225,0.0145156
1740043085.255554098,0.0114051,204,0.0145156
1740043085.259159496,0.0103683,223,0.0145156
1740043085.262758483,0.00933146,258,0.0145156
1740043085.266379264,0.00933146,264,0.0145156
1740043085.269949673,0.00829463,261,0.0145156
1740043085.273557566,0.00933146,291,0.0145156
1740043085.277156636,0.0103683,297,0.0145156
1740043085.280764334,0.0103683,266,0.0145156
1740043085.284377035,0.0103683,290,0.0145156
1740043085.287949739,0.0114051,290,0.0145156
1740043085.291580676,0.0145156,258,0.0145156
1740043085.295126099,0.0145156,255,0.0145156
1740043085.298646534,0.0145156,255,0.0145156
1740043085.302227263,0.0165893,237,0.0145156
1740043085.305816458,0.0176261,231,0.0145156
1740043085.309419792,0.0176261,231,0.0145156
1740043085.313013911,0.0165893,205,0.0145156
1740043085.316606033,0.0155524,173,0.0145156
1740043085.320212772,0.0155524,154,0.0145156
1740043085.323861180,0.0145156,178,0.0145156
1740043085.327501034,0.0155524,181,0.0145156
1740043085.331100633,0.0145156,155,0.0145156
1740043085.334696996,0.0145156,154,0.0145156
1740043085.338304738,0.0155524,137,0.0145156
1740043085.341826558,0.0165893,155,0.0145156
1740043085.345421785,0.0165893,94,0.0145156
1740043085.349015412,0.0176261,118,0.0145156
1740043085.352615832,0.0165893,93,0.0145156
1740043085.356211022,0.0165893,95,0.0145156
1740043085.359816801,0.0145156,118,0.0145156
1740043085.363426770,0.0103683,160,0.0145156
1740043085.367029041,0.0103683,147,0.0145156
1740043085.370619802,0.00933146,158,0.0145156
1740043085.374209050,0.00829463,160,0.0145156
1740043085.377816256,0.00933146,184,0.0145156
1740043085.381417964,0.0103683,181,0.0145156
1740043085.385016631,0.0103683,179,0.0145156
1740043085.388615504,0.0103683,199,0.0145156
1740043085.392209187,0.012442,174,0.0145156
1740043085.395817205,0.0155524,180,0.0145156
1740043085.399423304,0.0186629,134,0.0145156
1740043085.403011806,0.0186629,107,0.0145156
1740043085.406617751,0.0196998,108,0.0145156
1740043085.410208420,0.0207366,48,0.0145156
1740043085.413818136,0.0176261,83,0.0145156
1740043085.417419729,0.0165893,77,0.0145156
1740043085.421016847,0.0165893,60,0.0145156
1740043085.424627742,0.0155524,69,0.0145156
1740043085.428217177,0.0155524,102,0.0145156
